Time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,Characteristic Time,Heat Loss to Room,Room Temperature,Teacup Temperature
13.125,30,0,0.125,0.125,10,3.737007651110241,40,77.37007651110241
13.25,30,0,0.125,0.125,10,3.6902950554713625,40,76.90295055471363
13.375,30,0,0.125,0.125,10,3.644166367277971,40,76.44166367277971
13.5,30,0,0.125,0.125,10,3.5986142876869964,40,75.98614287686996
13.625,30,0,0.125,0.125,10,3.553631609090908,40,75.53631609090908
13.75,30,0,0.125,0.125,10,3.5092112139772724,40,75.09211213977272
13.875,30,0,0.125,0.125,10,3.465346073802556,40,74.65346073802556
14.0,30,0,0.125,0.125,10,3.4220292478800234,40,74.22029247880023
14.125,30,0,0.125,0.125,10,3.3792538822815232,40,73.79253882281523
14.25,30,0,0.125,0.125,10,3.337013208753004,40,73.37013208753004
14.375,30,0,0.125,0.125,10,3.2953005436435916,40,72.95300543643592
14.5,30,0,0.125,0.125,10,3.2541092868480463,40,72.54109286848046
14.625,30,0,0.125,0.125,10,3.213432920762446,40,72.13432920762446
14.75,30,0,0.125,0.125,10,3.1732650092529155,40,71.73265009252916
14.875,30,0,0.125,0.125,10,3.1335991966372547,40,71.33599196637255
15.0,30,0,0.125,0.125,10,3.0944292066792882,40,70.94429206679288
15.125,30,0,0.125,0.125,10,3.055748841595798,40,70.55748841595798
15.25,30,0,0.125,0.125,10,3.01755198107585,40,70.1755198107585
15.375,30,0,0.125,0.125,10,2.9798325813124023,40,69.79832581312402
15.5,30,0,0.125,0.125,10,2.9425846740459973,40,69.42584674045997
15.625,30,0,0.125,0.125,10,2.905802365620423,40,69.05802365620423
15.75,30,0,0.125,0.125,10,2.869479836050168,40,68.69479836050168
15.875,30,0,0.125,0.125,10,2.8336113380995416,40,68.33611338099541
16.0,30,0,0.125,0.125,10,2.798191196373297,40,67.98191196373297
16.125,30,0,0.125,0.125,10,2.763213806418631,40,67.63213806418631
16.25,30,0,0.125,0.125,10,2.7286736338383974,40,67.28673633838397
16.375,30,0,0.125,0.125,10,2.694565213415417,40,66.94565213415417
16.5,30,0,0.125,0.125,10,2.6608831482477244,40,66.60883148247724
16.625,30,0,0.125,0.125,10,2.627622108894627,40,66.27622108894627
16.75,30,0,0.125,0.125,10,2.5947768325334435,40,65.94776832533444
16.875,30,0,0.125,0.125,10,2.5623421221267764,40,65.62342122126776
17.0,30,0,0.125,0.125,10,2.5303128456001915,40,65.30312845600191
17.125,30,0,0.125,0.125,10,2.498683935030189,40,64.98683935030189
17.25,30,0,0.125,0.125,10,2.4674503858423122,40,64.67450385842312
17.375,30,0,0.125,0.125,10,2.4366072560192835,40,64.36607256019283
17.5,30,0,0.125,0.125,10,2.4061496653190417,40,64.06149665319042
17.625,30,0,0.125,0.125,10,2.3760727945025537,40,63.760727945025536
17.75,30,0,0.125,0.125,10,2.3463718845712718,40,63.46371884571272
17.875,30,0,0.125,0.125,10,2.3170422360141307,40,63.17042236014131
18.0,30,0,0.125,0.125,10,2.2880792080639543,40,62.880792080639544
18.125,30,0,0.125,0.125,10,2.259478217963155,40,62.59478217963155
18.25,30,0,0.125,0.125,10,2.231234740238616,40,62.31234740238616
18.375,30,0,0.125,0.125,10,2.2033443059856332,40,62.03344305985633
18.5,30,0,0.125,0.125,10,2.1758025021608125,40,61.75802502160813
18.625,30,0,0.125,0.125,10,2.1486049708838024,40,61.486049708838024
18.75,30,0,0.125,0.125,10,2.121747408747755,40,61.21747408747755
18.875,30,0,0.125,0.125,10,2.095225566138408,40,60.95225566138408
19.0,30,0,0.125,0.125,10,2.0690352465616777,40,60.690352465616776
19.125,30,0,0.125,0.125,10,2.043172305979657,40,60.43172305979657
19.25,30,0,0.125,0.125,10,2.017632652154911,40,60.17632652154911
19.375,30,0,0.125,0.125,10,1.9924122440029741,40,59.92412244002974
19.5,30,0,0.125,0.125,10,1.9675070909529366,40,59.67507090952937
19.625,30,0,0.125,0.125,10,1.9429132523160249,40,59.42913252316025
19.75,30,0,0.125,0.125,10,1.9186268366620745,40,59.186268366620745
19.875,30,0,0.125,0.125,10,1.8946440012037982,40,58.94644001203798
20.0,30,0,0.125,0.125,10,1.8709609511887506,40,58.70960951188751
20.125,30,0,0.125,0.125,10,1.8475739392988912,40,58.47573939298891
20.25,30,0,0.125,0.125,10,1.824479265057655,40,58.24479265057655
20.375,30,0,0.125,0.125,10,1.801673274244434,40,58.01673274244434
20.5,30,0,0.125,0.125,10,1.7791523583163786,40,57.79152358316379
20.625,30,0,0.125,0.125,10,1.7569129538374242,40,57.56912953837424
20.75,30,0,0.125,0.125,10,1.7349515419144566,40,57.349515419144566
20.875,30,0,0.125,0.125,10,1.7132646476405256,40,57.132646476405256
21.0,30,0,0.125,0.125,10,1.691848839545019,40,56.91848839545019
21.125,30,0,0.125,0.125,10,1.6707007290507065,40,56.707007290507065
21.25,30,0,0.125,0.125,10,1.6498169699375729,40,56.49816969937573
21.375,30,0,0.125,0.125,10,1.6291942578133536,40,56.291942578133536
21.5,30,0,0.125,0.125,10,1.6088293295906866,40,56.088293295906865
21.625,30,0,0.125,0.125,10,1.5887189629708032,40,55.88718962970803
21.75,30,0,0.125,0.125,10,1.5688599759336683,40,55.68859975933668
21.875,30,0,0.125,0.125,10,1.5492492262344975,40,55.492492262344975
22.0,30,0,0.125,0.125,10,1.529883610906566,40,55.29883610906566
22.125,30,0,0.125,0.125,10,1.5107600657702343,40,55.10760065770234
22.25,30,0,0.125,0.125,10,1.4918755649481064,40,54.918755649481064
22.375,30,0,0.125,0.125,10,1.4732271203862553,40,54.73227120386255
22.5,30,0,0.125,0.125,10,1.4548117813814272,40,54.54811781381427
22.625,30,0,0.125,0.125,10,1.4366266341141596,40,54.366266341141596
22.75,30,0,0.125,0.125,10,1.4186688011877329,40,54.18668801187733
22.875,30,0,0.125,0.125,10,1.4009354411728865,40,54.009354411728864
23.0,30,0,0.125,0.125,10,1.3834237481582257,40,53.83423748158226
23.125,30,0,0.125,0.125,10,1.3661309513062476,40,53.66130951306248
23.25,30,0,0.125,0.125,10,1.3490543144149192,40,53.49054314414919
23.375,30,0,0.125,0.125,10,1.3321911354847331,40,53.32191135484733
23.5,30,0,0.125,0.125,10,1.315538746291174,40,53.15538746291174
23.625,30,0,0.125,0.125,10,1.2990945119625343,40,52.990945119625344
23.75,30,0,0.125,0.125,10,1.2828558305630025,40,52.828558305630025
23.875,30,0,0.125,0.125,10,1.2668201326809652,40,52.66820132680965
24.0,30,0,0.125,0.125,10,1.2509848810224533,40,52.50984881022453
24.125,30,0,0.125,0.125,10,1.2353475700096723,40,52.35347570009672
24.25,30,0,0.125,0.125,10,1.2199057253845518,40,52.19905725384552
24.375,30,0,0.125,0.125,10,1.204656903817245,40,52.04656903817245
24.5,30,0,0.125,0.125,10,1.1895986925195294,40,51.895986925195295
24.625,30,0,0.125,0.125,10,1.1747287088630352,40,51.74728708863035
24.75,30,0,0.125,0.125,10,1.1600446000022473,40,51.60044600002247
24.875,30,0,0.125,0.125,10,1.145544042502219,40,51.45544042502219
25.0,30,0,0.125,0.125,10,1.1312247419709416,40,51.312247419709415
25.125,30,0,0.125,0.125,10,1.117084432696305,40,51.17084432696305
25.25,30,0,0.125,0.125,10,1.1031208772876013,40,51.03120877287601
